Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
crearMedidas,100,3,3,11,"1,05","0,000%","1,68282","0,45","0,00","275,0"
Total,100,3,3,11,"1,05","0,000%","1,68282","0,45","0,00","275,0"
